index,num_features,score1,score2,score3,score4,score5,five_fold_avg,stdev,feature_names
10,11,0.404166667,0.266666667,0.4875,0.491666667,0.425,0.415,0.091315616,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'AGRB1', 'AGRB2', 'AK1C1', 'AMYP', 'C1QB', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'DPP6', 'ECM1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HV103', 'LY96', 'MA1C1', 'MMP2', 'MYDGF', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'SCUB1', 'SEPR', 'SLIK4', 'SUMO4', 'TAU', 'VASN', 'VWF']"
11,12,0.379166667,0.291666667,0.508333333,0.429166667,0.408333333,0.403333333,0.078693763,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'AGRB1', 'AGRB2', 'AK1C1', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'DPP6', 'ECM1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HV103', 'LY96', 'MA1C1', 'MMP2', 'MYDGF', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SUMO4', 'TAU', 'VASN', 'VGF', 'VWF']"
12,13,0.441666667,0.291666667,0.520833333,0.441666667,0.354166667,0.41,0.088613941,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'AGRB1', 'AGRB2', 'AK1C1', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'ERAP2', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HV103', 'LY96', 'MA1C1', 'MMP2', 'MYDGF', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SUMO4', 'TAU', 'VASN', 'VGF', 'VWF']"
13,14,0.441666667,0.329166667,0.458333333,0.45,0.416666667,0.419166667,0.052671677,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'ERAP2', 'FSCN1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HDHD2', 'HTRA1', 'HV103', 'IBPL1', 'LY96', 'MA1C1', 'MMP2', 'MYDGF', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SUMO4', 'TAU', 'VASN', 'VGF', 'VWF']"
14,15,0.429166667,0.304166667,0.5,0.4625,0.458333333,0.430833333,0.075150312,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'ERAP2', 'FSCN1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'MA1C1', 'MMP2', 'MYDGF', 'NPTX2', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'VASN', 'VGF', 'VWF']"
15,16,0.416666667,0.254166667,0.429166667,0.475,0.433333333,0.401666667,0.085320067,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'ERAP2', 'FSCN1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'LYSC', 'MA1C1', 'MMP2', 'MXRA8', 'MYDGF', 'NPTX2', 'PAL4A', 'PGK1', 'PILRA', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFM', 'VASN', 'VGF', 'VWF']"
16,17,0.354166667,0.254166667,0.429166667,0.475,0.433333333,0.389166667,0.087132163,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'ERAP2', 'FSCN1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'LYSC', 'MA1C1', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'PAL4A', 'PGK1', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
17,18,0.354166667,0.254166667,0.379166667,0.475,0.5,0.3925,0.09892653,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FSCN1', 'GDIA', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'LYSC', 'MA1C1', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'PAL4A', 'PGK1', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
18,19,0.35,0.254166667,0.458333333,0.466666667,0.5,0.405833333,0.101789543,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'LYSC', 'MA1C1', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAL4A', 'PGK1', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
19,20,0.391666667,0.229166667,0.408333333,0.441666667,0.4875,0.391666667,0.097938827,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CAH1', 'CALC', 'CEMIP', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'LY96', 'LYSC', 'MA1C1', 'METRN', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAL4A', 'PGK1', 'PGK2', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
20,21,0.391666667,0.241666667,0.420833333,0.466666667,0.4875,0.401666667,0.097030565,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CADH8', 'CAH1', 'CALC', 'CEMIP', 'CH3L1', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'IGF2', 'LY96', 'LYSC', 'MA1C1', 'METRN', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAL4A', 'PGK1', 'PGK2', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
21,22,0.391666667,0.254166667,0.408333333,0.425,0.475,0.390833333,0.082516833,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CADH8', 'CAH1', 'CAH2', 'CALC', 'CEMIP', 'CH3L1', 'CHIT1', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FREM2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'IGF2', 'LY96', 'LYSC', 'MA1C1', 'METRN', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAL4A', 'PGK1', 'PGK2', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
22,23,0.416666667,0.254166667,0.433333333,0.425,0.475,0.400833333,0.085004085,"['1433B', '1433G', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CADH8', 'CAH1', 'CAH2', 'CALC', 'CEMIP', 'CH3L1', 'CHIT1', 'CHLE', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FREM2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'IGF2', 'LY96', 'LYSC', 'MA1C1', 'METRN', 'MMP2', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAFA', 'PAL4A', 'PGK1', 'PGK2', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
23,24,0.441666667,0.329166667,0.433333333,0.475,0.475,0.430833333,0.059918927,"['1433B', '1433G', '1433T', '1433Z', 'ABHEA', 'ACBP', 'ACTBM', 'AGRB1', 'AGRB2', 'AK1C1', 'AMY2B', 'AMYP', 'BMAL2', 'C1QB', 'C1QT5', 'CADH5', 'CADH8', 'CAH1', 'CAH2', 'CALC', 'CEMIP', 'CH3L1', 'CHIT1', 'CHLE', 'CNTP5', 'CO7', 'CPVL', 'DPP6', 'ECM1', 'EPHA5', 'ERAP2', 'FREM2', 'FSCN1', 'GDIA', 'GDIB', 'GLT15', 'GPX5', 'GSHR', 'HBA', 'HDHD2', 'HTRA1', 'HV103', 'HYI', 'IBPL1', 'IGF2', 'LY96', 'LYSC', 'MA1C1', 'METRN', 'MMP2', 'MOES', 'MXRA8', 'MYDGF', 'NDKB', 'NPTX2', 'OMD', 'PAFA', 'PAL4A', 'PGAM1', 'PGK1', 'PGK2', 'PILRA', 'POTEJ', 'PPIB', 'PPT1', 'PROF2', 'SCUB1', 'SEPR', 'SERC', 'SLIK4', 'SNED1', 'SRPX', 'SUMO4', 'TAU', 'TRFL', 'TRFM', 'VASN', 'VGF', 'VWF']"
