,num_features,scores
63,64,"[0.4375, 0.42500000000000004, 0.5750000000000001, 0.5708333333333334, 0.4375]"
64,65,"[0.475, 0.42500000000000004, 0.5750000000000001, 0.5708333333333334, 0.4375]"
65,66,"[0.475, 0.4, 0.5750000000000001, 0.5708333333333334, 0.4375]"
66,67,"[0.475, 0.4, 0.5750000000000001, 0.5833333333333334, 0.4375]"
67,68,"[0.475, 0.4125, 0.5750000000000001, 0.5708333333333334, 0.48750000000000004]"
68,69,"[0.475, 0.4125, 0.5750000000000001, 0.5708333333333334, 0.48750000000000004]"
69,70,"[0.475, 0.4625, 0.5333333333333334, 0.5708333333333334, 0.475]"
70,71,"[0.5291666666666667, 0.475, 0.5750000000000001, 0.5708333333333334, 0.475]"
71,72,"[0.5291666666666667, 0.475, 0.5333333333333334, 0.5708333333333334, 0.475]"
72,73,"[0.5291666666666667, 0.475, 0.5333333333333334, 0.5708333333333334, 0.475]"
73,74,"[0.5291666666666667, 0.5291666666666667, 0.5333333333333334, 0.5708333333333334, 0.475]"
74,75,"[0.5666666666666667, 0.4666666666666667, 0.5333333333333334, 0.5583333333333333, 0.475]"
75,76,"[0.525, 0.4375, 0.5458333333333334, 0.5583333333333333, 0.475]"
76,77,"[0.525, 0.4375, 0.5458333333333334, 0.5583333333333333, 0.4875]"
77,78,"[0.5, 0.4375, 0.5458333333333334, 0.5708333333333334, 0.475]"
78,79,"[0.475, 0.44999999999999996, 0.5458333333333334, 0.5708333333333334, 0.475]"
79,80,"[0.5666666666666667, 0.4375, 0.5875, 0.5708333333333334, 0.475]"
80,81,"[0.5166666666666666, 0.42500000000000004, 0.5458333333333334, 0.5708333333333334, 0.4875]"
81,82,"[0.5291666666666667, 0.44999999999999996, 0.5458333333333334, 0.5708333333333334, 0.425]"
82,83,"[0.5458333333333333, 0.4375, 0.5458333333333334, 0.5291666666666667, 0.475]"
83,84,"[0.5583333333333333, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
84,85,"[0.5583333333333333, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
85,86,"[0.5666666666666667, 0.44999999999999996, 0.5458333333333334, 0.5291666666666667, 0.4875]"
86,87,"[0.5666666666666667, 0.44999999999999996, 0.5875, 0.5791666666666667, 0.4875]"
87,88,"[0.5166666666666666, 0.44999999999999996, 0.5875, 0.6208333333333333, 0.4458333333333333]"
88,89,"[0.5708333333333334, 0.44999999999999996, 0.5750000000000001, 0.6208333333333333, 0.4458333333333333]"
89,90,"[0.5708333333333334, 0.44999999999999996, 0.5458333333333334, 0.5791666666666667, 0.4583333333333333]"
90,91,"[0.4666666666666666, 0.44999999999999996, 0.5458333333333334, 0.5791666666666667, 0.4583333333333333]"
91,92,"[0.4916666666666666, 0.4375, 0.6125, 0.6083333333333334, 0.5]"
92,93,"[0.5041666666666667, 0.4375, 0.6125, 0.6083333333333334, 0.48750000000000004]"
93,94,"[0.5041666666666667, 0.4125, 0.625, 0.6083333333333334, 0.48750000000000004]"
94,95,"[0.5041666666666667, 0.4, 0.6125, 0.5666666666666667, 0.48750000000000004]"
95,96,"[0.5041666666666667, 0.4125, 0.625, 0.5666666666666667, 0.48750000000000004]"
96,97,"[0.5041666666666667, 0.4, 0.6125, 0.5666666666666667, 0.5]"
97,98,"[0.5041666666666667, 0.4125, 0.6125, 0.5666666666666667, 0.5]"
98,99,"[0.4916666666666666, 0.4125, 0.6000000000000001, 0.5666666666666667, 0.5]"
